onset	duration	trial_type
581.655833333333	0	118
583.8975	0	114
584.164166666667	0	118
585.906666666667	0	114
587.015	0	118
589.523333333333	0	114
592.103333333333	0	6
594.099166666667	0	26
595.174166666667	0	122
596.0325	0	110
597.375	0	122
598.45	0	110
599.7	0	122
601.083333333333	0	110
603.934166666667	0	122
606.2425	0	110
606.5425	0	122
609.1025	0	1
611.100833333333	0	21
613.168333333333	0	101
613.368333333333	0	129
615.335	0	101
615.568333333333	0	129
617.660833333333	0	101
618.269166666667	0	129
620.944166666667	0	101
623.295	0	129
626.105833333333	0	8
628.111666666667	0	28
629.3375	0	114
630.2875	0	118
632.770833333333	0	114
634.620833333333	0	118
635.0625	0	114
637.013333333333	0	118
637.28	0	114
639.505	0	118
643.115	0	2
645.114166666667	0	22
646.3475	0	130
646.455833333333	0	102
649.356666666667	0	130
649.59	0	102
651.548333333333	0	130
652.573333333333	0	102
653.948333333333	0	130
654.99	0	102
656.199166666667	0	130
657.365833333333	0	102
660.1175	0	1
662.115833333333	0	21
663.158333333333	0	129
664.183333333333	0	101
665.791666666667	0	129
666.758333333333	0	101
668.3925	0	129
669.400833333333	0	101
671.125833333333	0	129
672.0425	0	101
673.650833333333	0	129
674.100833333333	0	101
677.1225	0	6
679.118333333333	0	26
680.268333333333	0	110
680.735	0	122
682.9525	0	110
684.0275	0	122
685.4775	0	110
686.1275	0	122
688.445	0	110
688.87	0	122
690.478333333333	0	110
690.92	0	122
694.121666666667	0	3
696.120833333333	0	23
698.1375	0	125
698.354166666667	0	105
701.013333333333	0	125
703.088333333333	0	105
703.096666666667	0	125
705.771666666667	0	105
706.021666666667	0	125
707.864166666667	0	105
708.364166666667	0	125
726.344166666667	0	5
728.3425	0	25
729.676666666667	0	121
730.708333333333	0	109
731.691666666667	0	121
733.266666666667	0	109
733.7925	0	121
735.750833333333	0	109
736.459166666667	0	121
738.109166666667	0	109
738.525833333333	0	121
740.26	0	109
743.343333333333	0	2
745.343333333333	0	22
746.7525	0	102
747.660833333333	0	130
749.1275	0	102
750.2525	0	130
751.769166666667	0	102
752.585833333333	0	130
754.62	0	102
754.636666666667	0	130
757.561666666667	0	102
757.753333333333	0	130
760.346666666667	0	2
762.345833333333	0	22
763.554166666667	0	102
764.279166666667	0	130
765.705	0	102
766.338333333333	0	130
768.605	0	102
769.771666666667	0	130
772.164166666667	0	102
772.2975	0	130
774.680833333333	0	102
774.8225	0	130
777.348333333333	0	8
779.348333333333	0	28
781.073333333333	0	118
781.09	0	114
783.765	0	118
783.998333333333	0	114
786.615833333333	0	118
788.2825	0	114
788.815833333333	0	118
790.499166666667	0	114
791.7	0	118
794.351666666667	0	6
796.35	0	26
797.850833333333	0	122
798.309166666667	0	110
801.059166666667	0	122
803.543333333333	0	110
803.709166666667	0	122
806.076666666667	0	110
808.185	0	122
808.826666666667	0	110
811.363333333333	0	1
813.369166666667	0	21
814.6525	0	101
815.285833333333	0	129
818.236666666667	0	101
820.086666666667	0	129
820.52	0	101
822.186666666667	0	129
823.070833333333	0	101
825.070833333333	0	129
825.8125	0	101
828.3725	0	1
830.370833333333	0	21
831.621666666667	0	101
832.58	0	129
834.53	0	101
834.805	0	129
836.9475	0	101
837.3475	0	129
840.189166666667	0	101
841.973333333333	0	129
842.365	0	101
845.375	0	7
847.373333333333	0	27
848.940833333333	0	113
849.224166666667	0	117
852.015833333333	0	113
854.790833333333	0	117
856.883333333333	0	113
857.183333333333	0	117
859.433333333333	0	113
859.8	0	117
862.379166666667	0	1
864.375833333333	0	21
865.7925	0	101
866.5425	0	129
868.843333333333	0	101
869.085	0	129
870.868333333333	0	101
871.351666666667	0	129
873.36	0	101
873.576666666667	0	129
876.0775	0	101
876.119166666667	0	129
879.379166666667	0	8
881.3775	0	28
882.603333333333	0	114
882.903333333333	0	118
885.486666666667	0	114
885.995	0	118
888.7875	0	114
890.3625	0	118
891.179166666667	0	114
893.638333333333	0	118
896.381666666667	0	5
898.38	0	25
899.805	0	121
900.4975	0	109
903.0475	0	121
903.055833333333	0	109
905.6225	0	121
907.465	0	109
908.34	0	121
910.306666666667	0	109
910.823333333333	0	121
913.385	0	8
915.3825	0	28
916.674166666667	0	114
917.524166666667	0	118
919.440833333333	0	114
919.725	0	118
921.625	0	114
922.7	0	118
924.741666666667	0	114
925.308333333333	0	118
927.0425	0	114
927.725833333333	0	118
930.385833333333	0	7
932.384166666667	0	27
933.735	0	113
934.043333333333	0	117
936.36	0	113
938.526666666667	0	117
938.701666666667	0	113
940.7275	0	117
941.5775	0	113
944.8525	0	117
947.386666666667	0	5
949.390833333333	0	25
951.361666666667	0	121
951.686666666667	0	109
954.265	0	121
956.195833333333	0	109
956.495833333333	0	121
959.288333333333	0	109
960.863333333333	0	121
961.68	0	109
964.391666666667	0	7
966.389166666667	0	27
967.614166666667	0	117
968.289166666667	0	113
970.923333333333	0	117
971.015	0	113
